Weekend,Fixtures
0,Cklein Starts(1) versus Nakuru FC(9) at  Cklein Arena
,Wolves FC(10) versus Sea Horses FC(8) at  Wolves

1,Ostrich Associates(2) versus Thika United(7) at  OAssociates
,Dolphins FC(3) versus Lake Basin FC(6) at  Dolphins

2,Mavuno Comrades FC(4) versus Sharks United(5) at  Vuno Grounds
,Cklein Starts(1) versus Sea Horses FC(8) at  Cklein Arena

3,Nakuru FC(9) versus Thika United(7) at  Nakuru Field
,Wolves FC(10) versus Lake Basin FC(6) at  Wolves

4,Ostrich Associates(2) versus Sharks United(5) at  OAssociates
,Dolphins FC(3) versus Mavuno Comrades FC(4) at  Dolphins

5,Cklein Starts(1) versus Thika United(7) at  Cklein Arena
,Sea Horses FC(8) versus Lake Basin FC(6) at  SHorses Arena

6,Nakuru FC(9) versus Sharks United(5) at  Nakuru Field
,Wolves FC(10) versus Mavuno Comrades FC(4) at  Wolves

7,Ostrich Associates(2) versus Dolphins FC(3) at  OAssociates
,Cklein Starts(1) versus Lake Basin FC(6) at  Cklein Arena

8,Thika United(7) versus Sharks United(5) at  Thika Field
,Sea Horses FC(8) versus Mavuno Comrades FC(4) at  SHorses Arena

9,Nakuru FC(9) versus Dolphins FC(3) at  Nakuru Field
,Wolves FC(10) versus Ostrich Associates(2) at  Wolves

10,Cklein Starts(1) versus Sharks United(5) at  Cklein Arena
,Lake Basin FC(6) versus Mavuno Comrades FC(4) at  LBasin

11,Thika United(7) versus Dolphins FC(3) at  Thika Field
,Sea Horses FC(8) versus Ostrich Associates(2) at  SHorses Arena

12,Nakuru FC(9) versus Wolves FC(10) at  Nakuru Field
,Cklein Starts(1) versus Mavuno Comrades FC(4) at  Cklein Arena

13,Sharks United(5) versus Dolphins FC(3) at  Sharks Field
,Lake Basin FC(6) versus Ostrich Associates(2) at  LBasin

14,Thika United(7) versus Wolves FC(10) at  Thika Field
,Sea Horses FC(8) versus Nakuru FC(9) at  SHorses Arena

15,Cklein Starts(1) versus Dolphins FC(3) at  Cklein Arena
,Mavuno Comrades FC(4) versus Ostrich Associates(2) at  Vuno Grounds

16,Sharks United(5) versus Wolves FC(10) at  Sharks Field
,Lake Basin FC(6) versus Nakuru FC(9) at  LBasin

17,Thika United(7) versus Sea Horses FC(8) at  Thika Field
,Cklein Starts(1) versus Ostrich Associates(2) at  Cklein Arena

18,Dolphins FC(3) versus Wolves FC(10) at  Dolphins
,Mavuno Comrades FC(4) versus Nakuru FC(9) at  Vuno Grounds

19,Sharks United(5) versus Sea Horses FC(8) at  Sharks Field
,Lake Basin FC(6) versus Thika United(7) at  LBasin

20,Cklein Starts(1) versus Wolves FC(10) at  Cklein Arena
,Ostrich Associates(2) versus Nakuru FC(9) at  OAssociates

21,Dolphins FC(3) versus Sea Horses FC(8) at  Dolphins
,Mavuno Comrades FC(4) versus Thika United(7) at  Vuno Grounds

22,Sharks United(5) versus Lake Basin FC(6) at  Sharks Field
,Cklein Starts(1) versus Nakuru FC(9) at  Nakuru Field

23,Wolves FC(10) versus Sea Horses FC(8) at  SHorses Arena
,Ostrich Associates(2) versus Thika United(7) at  Thika Field

24,Dolphins FC(3) versus Lake Basin FC(6) at  LBasin
,Mavuno Comrades FC(4) versus Sharks United(5) at  Sharks Field

25,Cklein Starts(1) versus Sea Horses FC(8) at  SHorses Arena
,Nakuru FC(9) versus Thika United(7) at  Thika Field

26,Wolves FC(10) versus Lake Basin FC(6) at  LBasin
,Ostrich Associates(2) versus Sharks United(5) at  Sharks Field

27,Dolphins FC(3) versus Mavuno Comrades FC(4) at  Vuno Grounds
,Cklein Starts(1) versus Thika United(7) at  Thika Field

28,Sea Horses FC(8) versus Lake Basin FC(6) at  LBasin
,Nakuru FC(9) versus Sharks United(5) at  Sharks Field

29,Wolves FC(10) versus Mavuno Comrades FC(4) at  Vuno Grounds
,Ostrich Associates(2) versus Dolphins FC(3) at  Dolphins

30,Cklein Starts(1) versus Lake Basin FC(6) at  LBasin
,Thika United(7) versus Sharks United(5) at  Sharks Field

31,Sea Horses FC(8) versus Mavuno Comrades FC(4) at  Vuno Grounds
,Nakuru FC(9) versus Dolphins FC(3) at  Dolphins

32,Wolves FC(10) versus Ostrich Associates(2) at  OAssociates
,Cklein Starts(1) versus Sharks United(5) at  Sharks Field

33,Lake Basin FC(6) versus Mavuno Comrades FC(4) at  Vuno Grounds
,Thika United(7) versus Dolphins FC(3) at  Dolphins

34,Sea Horses FC(8) versus Ostrich Associates(2) at  OAssociates
,Nakuru FC(9) versus Wolves FC(10) at  Wolves

35,Cklein Starts(1) versus Mavuno Comrades FC(4) at  Vuno Grounds
,Sharks United(5) versus Dolphins FC(3) at  Dolphins

36,Lake Basin FC(6) versus Ostrich Associates(2) at  OAssociates
,Thika United(7) versus Wolves FC(10) at  Wolves

37,Sea Horses FC(8) versus Nakuru FC(9) at  Nakuru Field
,Cklein Starts(1) versus Dolphins FC(3) at  Dolphins

38,Mavuno Comrades FC(4) versus Ostrich Associates(2) at  OAssociates
,Sharks United(5) versus Wolves FC(10) at  Wolves

39,Lake Basin FC(6) versus Nakuru FC(9) at  Nakuru Field
,Thika United(7) versus Sea Horses FC(8) at  SHorses Arena

40,Cklein Starts(1) versus Ostrich Associates(2) at  OAssociates
,Dolphins FC(3) versus Wolves FC(10) at  Wolves

41,Mavuno Comrades FC(4) versus Nakuru FC(9) at  Nakuru Field
,Sharks United(5) versus Sea Horses FC(8) at  SHorses Arena

42,Lake Basin FC(6) versus Thika United(7) at  Thika Field
,Cklein Starts(1) versus Wolves FC(10) at  Wolves

43,Ostrich Associates(2) versus Nakuru FC(9) at  Nakuru Field
,Dolphins FC(3) versus Sea Horses FC(8) at  SHorses Arena

44,Mavuno Comrades FC(4) versus Thika United(7) at  Thika Field
,Sharks United(5) versus Lake Basin FC(6) at  LBasin

